country,count
AD,8
AE,15
AF,69
AI,1
AL,121
AM,203
AO,54
AR,459
AS,1
AT,290
AU,528
AW,1
AZ,67
BA,61
BB,7
BD,79
BE,204
BF,11
BG,175
BH,14
BI,10
BJ,21
BM,16
BN,12
BO,135
BR,443
BS,12
BT,5
BW,17
BY,80
BZ,14
CA,1988
CF,3
CG,6
CH,197
CI,17
CK,5
CL,195
CM,40
CN,2959
CO,246
CR,71
CU,300
CV,10
CW,5
CY,116
CZ,190
DE,2220
DJ,4
DK,86
DM,2
DO,103
DZ,130
EC,103
EE,71
EG,385
ER,13
ES,1397
ET,58
FI,122
FJ,10
FK,7
FM,13
FO,1
FR,2071
GA,10
GB,4076
GD,3
GE,104
GF,23
GG,5
GH,62
GI,3
GL,17
GM,7
GN,6
GP,6
GQ,3
GR,551
GS,1
GT,66
GU,6
GW,4
GY,53
HK,113
HN,41
HR,82
HT,116
HU,274
ID,361
IE,566
IL,363
IM,18
IN,1214
IQ,67
IR,298
IS,272
IT,2505
JE,4
JM,43
JO,49
JP,1543
KE,37
KG,22
KH,25
KI,4
KM,2
KN,1
KP,84
KR,511
KW,20
KY,2
KZ,115
LA,29
LB,55
LC,3
LI,4
LK,85
LR,13
LS,6
LT,97
LU,12
LV,31
LY,33
MA,92
MC,5
MD,51
ME,16
MG,36
MH,6
MK,150
ML,46
MM,68
MN,67
MO,61
MP,7
MQ,17
MR,8
MS,3
MT,121
MU,19
MV,2
MW,8
MX,1190
MY,53
MZ,26
NA,33
NC,24
NE,12
NF,1
NG,367
NI,51
NL,316
NO,150
NP,74
NU,1
NZ,152
OM,99
PA,69
PE,297
PF,16
PG,39
PH,122
PK,193
PL,789
PN,2
PR,99
PT,289
PW,33
PY,55
QA,3
RE,6
RO,259
RS,207
RU,2001
RW,38
SA,69
SB,14
SC,13
SD,65
SE,173
SG,21
SH,11
SI,93
SK,41
SL,59
SN,16
SO,15
SR,16
SS,2
ST,5
SV,33
SY,73
SZ,1
TC,1
TD,4
TF,3
TG,21
TH,275
TJ,45
TL,26
TM,10
TN,48
TO,7
TR,518
TT,17
TV,2
TW,339
TZ,54
UA,466
UG,32
US,16801
UY,70
UZ,60
VA,10
VC,6
VE,181
VG,2
VI,12
VN,123
VU,7
WF,1
WS,13
YE,22
ZA,323
ZM,49
ZW,36
