ISOnumeric3,countryName,pubDate,count,smooth3,smooth5
8,Albania,2013,5,122,356
840,United States of America,2013,1564,16824,37857
8,Albania,2012,36,223,475
840,United States of America,2012,6235,25401,47533
8,Albania,2011,81,315,532
840,United States of America,2011,9025,30058,52331
8,Albania,2010,106,358,553
840,United States of America,2010,10141,32273,54593
8,Albania,2009,128,345,536
840,United States of America,2009,10892,33165,56302
8,Albania,2008,124,319,481
840,United States of America,2008,11240,33560,58214
8,Albania,2007,93,284,442
840,United States of America,2007,11033,34170,59327
